IDP	nh2	phi
IDP-25712	1.03385875439522e-05	6.32099664399319e-05
IDP-25713	8.95614614771906e-06	6.18275250436987e-05
IDP-25714	2.98666194470086e-06	5.58580408406805e-05
IDP-25715	-1.09846010237928e-06	5.17729187936004e-05
IDP-25716	8.13619309582847e-06	6.10075719918082e-05
IDP-25717	5.62017535883135e-06	5.8491554254811e-05
IDP-25718	4.95329332473345e-06	5.78246722207131e-05
IDP-25719	9.06387738774663e-07	5.37777666347543e-05
IDP-25720	5.65346448622208e-07	5.34367253446019e-05
IDP-25721	4.94035384496198e-06	5.78117327409417e-05
IDP-25722	4.20211753092583e-06	5.70734964269055e-05
IDP-25723	-4.02240562966491e-06	4.88489732663148e-05
IDP-25724	-5.63804864587581e-06	4.72333302501039e-05
IDP-25725	-9.50338820952687e-06	4.33679906864528e-05
IDP-25726	-7.695954032047e-07	5.2101783492775e-05
IDP-25727	6.50844112937993e-06	5.93798200253596e-05
IDP-25728	9.22884403784981e-06	6.21002229338295e-05
IDP-25729	2.02013756906248e-06	5.48915164650422e-05
IDP-25730	9.96076321604078e-07	5.38674552175838e-05
PC-FA-ProbTrack-1	-5.19916728472183e-06	4.76722116112579e-05
PC-FA-TBSS-1	-4.100286994896e-06	4.87710919010837e-05
PC-ICVF-ProbTrack-1	-2.30634754254138e-06	5.05650313534383e-05
PC-ICVF-TBSS-1	-1.13282800566877e-06	5.17385508903109e-05
PC-ISOVF-ProbTrack-1	2.00597941565283e-06	5.48773583116325e-05
PC-ISOVF-TBSS-1	2.27947559329046e-06	5.51508544892701e-05
PC-OD-ProbTrack-1	-8.00165998467587e-07	5.20712128975121e-05
PC-OD-TBSS-1	1.03586466972474e-07	5.29749653629522e-05
IDP-25002	-2.71605274348908e-06	5.00597249877839e-05
IDP-25004	1.61840087271415e-07	5.29376178185444e-05
IDP-25006	-2.18268574985847e-06	5.05930919814145e-05
IDP-25008	3.52154146269028e-06	5.62973191939633e-05
IDP-25010	4.79491551104287e-07	5.32552692823773e-05
IDP-25011	-1.93969012180677e-06	5.08360876094663e-05
IDP-25012	-1.14031075052212e-06	5.16354669807509e-05
IDP-25013	-1.51687007426745e-06	5.12589076570056e-05
IDP-25014	-2.73613731274323e-06	5.00396404185298e-05
IDP-25015	2.67917535582387e-06	5.54549530870969e-05
IDP-25016	1.77270515221814e-06	5.45484828834912e-05
IDP-25017	2.5241969184833e-07	5.30281974231214e-05
IDP-25018	-2.43691414613245e-06	5.03388635851406e-05
IDP-25019	6.46463514169604e-07	5.34222412454426e-05
IDP-25020	1.17916409597119e-06	5.39549418272442e-05
IDP-25021	-8.74170762800697e-07	5.19016069684723e-05
IDP-25022	6.25308694114844e-07	5.34010864253879e-05
IDP-25023	7.54648192670028e-06	6.03222596579733e-05
IDP-25024	-1.03003656309746e-06	5.17457411681756e-05
IDP-25025	-2.72856180617644e-06	5.00472159250966e-05
IDP-25782	-1.79029778944554e-06	5.09854799418275e-05
IDP-25783	-8.18503678322656e-07	5.19572740529504e-05
IDP-25784	-9.26980512033698e-07	5.18487972192393e-05
IDP-25785	-2.89787084535689e-06	4.98779068859161e-05
IDP-25786	2.28214108035075e-08	5.27985991420765e-05
IDP-25787	3.91545195961363e-07	5.31673229272344e-05
IDP-25788	-4.66813551661399e-06	4.8107642214659e-05
IDP-25789	-4.19506053327485e-06	4.85807171979982e-05
IDP-25790	-8.88841587338544e-08	5.26868935725392e-05
IDP-25791	-5.1560921575628e-07	5.22601685155167e-05
IDP-25792	1.16242738055635e-08	5.27874020050786e-05
IDP-25793	3.46254989409112e-06	5.62383276253641e-05
IDP-25794	5.30719170627976e-07	5.3306496901901e-05
IDP-25795	-1.45397307764887e-06	5.13218046536242e-05
IDP-25796	8.60493441558193e-07	5.36362711728312e-05
IDP-25797	-9.14056823471008e-07	5.1861720907802e-05
IDP-25798	-1.72425039381601e-07	5.26033526918914e-05
IDP-25799	-2.51393226809535e-06	5.02618454631777e-05
IDP-25800	-4.62521411162494e-06	4.81505636196481e-05
IDP-25801	-5.52812024125828e-07	5.22229657071472e-05
IDP-25802	9.72226955001791e-07	5.37480046862748e-05
IDP-25803	-7.08377471195773e-06	4.56920030193153e-05
IDP-25804	2.5204613594008e-06	5.52962390906738e-05
IDP-25805	-9.55230655784269e-07	5.18205470754888e-05
IDP-25806	5.47327980963693e-06	5.824905754091e-05
IDP-25807	1.05427559427065e-06	5.38300533255437e-05
IDP-25808	-6.64093569971804e-08	5.27093683742758e-05
IDP-25809	-3.40112358058306e-07	5.24356653732147e-05
IDP-25810	-3.66854629708018e-06	4.91072314341928e-05
IDP-25811	-2.38476010112393e-06	5.03910176301491e-05
IDP-25812	2.4953219047983e-06	5.52710996360713e-05
IDP-25813	1.27957821574726e-06	5.40553559470203e-05
IDP-25814	6.19628447711314e-06	5.89720622083862e-05
IDP-25815	2.34661585361048e-07	5.30104393166341e-05
IDP-25816	6.44891955189123e-06	5.92246972831642e-05
IDP-25817	4.47848433408169e-06	5.72542620653547e-05
IDP-25818	5.12949176911016e-07	5.3288726908184e-05
IDP-25819	1.92017711750492e-06	5.46959548487779e-05
IDP-25820	-1.25037850449338e-06	5.15253992267796e-05
IDP-25821	3.98254805922091e-06	5.67583257904939e-05
IDP-25822	3.46296567462249e-06	5.62387434058955e-05
IDP-25823	3.80314957300112e-06	5.65789273042741e-05
IDP-25824	2.42952318097811e-06	5.52053009122511e-05
IDP-25825	1.7179570343008e-06	5.44937347655738e-05
IDP-25826	-1.85195343695034e-06	5.09238242943227e-05
IDP-25827	-2.4515521947101e-06	5.03242255365629e-05
IDP-25828	-1.16292753262881e-06	5.16128501986442e-05
IDP-25829	9.33849929089169e-07	5.37096276603622e-05
IDP-25830	-5.00998214585865e-06	4.77657955854144e-05
IDP-25831	-5.43174406123285e-06	4.73440336700402e-05
IDP-25832	5.72154380773815e-06	5.84973215390112e-05
IDP-25833	2.88133907069436e-06	5.56571168019674e-05
IDP-25834	5.09729900317247e-06	5.78730767344455e-05
IDP-25835	2.65702037181294e-06	5.5432798103086e-05
IDP-25836	1.97152093444239e-06	5.47472986657154e-05
IDP-25837	-8.38447586036652e-07	5.19373301452364e-05
IDP-25838	1.33001743482419e-06	5.41057951660972e-05
IDP-25839	-3.89535115251782e-07	5.23862426160212e-05
IDP-25840	3.85518332728642e-06	5.66309610585594e-05
IDP-25841	5.33214087939176e-08	5.28290991400669e-05
IDP-25842	1.52953905104166e-06	5.43053167823147e-05
IDP-25843	2.14615115851615e-06	5.49219288897892e-05
IDP-25844	-1.02165543125629e-07	5.26736121881474e-05
IDP-25845	-1.36992587954612e-06	5.14058518517269e-05
IDP-25846	1.22181527490239e-06	5.39975930061754e-05
IDP-25847	2.53386511721875e-06	5.53096428484918e-05
IDP-25848	-4.77070810466786e-07	5.22987069208062e-05
IDP-25849	-4.67951061907408e-06	4.80962671121989e-05
IDP-25850	2.48005325826846e-06	5.52558309895415e-05
IDP-25851	-2.22483152993659e-06	5.05509462013364e-05
IDP-25852	2.37320079549368e-06	5.51489785267667e-05
IDP-25853	-1.15458382828753e-06	5.16211939029855e-05
IDP-25854	-2.80035618140261e-06	4.99754215498704e-05
IDP-25855	-7.45294520690046e-07	5.2030483210583e-05
IDP-25856	-2.0526472063619e-06	5.07231305249111e-05
IDP-25857	-8.66084733888344e-07	5.19096929973847e-05
IDP-25858	2.96308926620648e-06	5.57388669974795e-05
IDP-25859	1.63273321505734e-06	5.44085109463304e-05
IDP-25860	2.53418234204817e-06	5.53099600733212e-05
IDP-25861	-8.93514317197332e-07	5.18822634140757e-05
IDP-25862	-5.21834101754682e-07	5.22539436295183e-05
IDP-25863	8.00961100879348e-06	6.07853887400665e-05
IDP-25864	-7.21326942171456e-07	5.20544507891016e-05
IDP-25865	1.41209145227013e-06	5.41878691835432e-05
IDP-25866	2.37574748952112e-06	5.51515252207941e-05
IDP-25867	1.31384837895482e-06	5.40896261102278e-05
IDP-25868	2.7078273118108e-06	5.54836050430838e-05
IDP-25869	5.27285720313525e-06	5.80486349344083e-05
IDP-25870	1.3900009943347e-06	5.41657787256077e-05
IDP-25871	9.40626293558965e-07	5.3716404024832e-05
IDP-25872	5.2942458996896e-06	5.80700236309626e-05
IDP-25873	-1.80714466110617e-08	5.2757706284662e-05
IDP-25874	-1.49963433598105e-06	5.1276143395292e-05
IDP-25875	3.12208496962774e-07	5.30879862282358e-05
IDP-25876	8.10526231478801e-07	5.35863039627518e-05
IDP-25877	-1.79952323568489e-06	5.09762544955881e-05
IDP-25878	2.29124856122684e-06	5.50670262924999e-05
IDP-25879	2.23364365909708e-06	5.50094213903701e-05
IDP-25880	-3.06412693766521e-06	4.97116507936078e-05
IDP-25881	-3.06208593552636e-06	4.97136917957467e-05
IDP-25882	3.57524076447806e-06	5.63510184957511e-05
IDP-25883	6.19707430100039e-07	5.33954851613731e-05
IDP-25884	2.93475191294749e-06	5.57105296442205e-05
IDP-25885	2.30926036233285e-06	5.50850380936059e-05
IDP-25886	-1.80549245864267e-06	5.09702852726304e-05
IDP-25887	-3.68831496980327e-06	4.90874627614697e-05
IDP-25888	2.38418740947297e-06	5.5159965140746e-05
IDP-25889	8.6622063209959e-07	5.36419983633726e-05
IDP-25890	6.59014849746425e-06	5.93659262287373e-05
IDP-25891	1.13356617001004e-06	5.39093439012831e-05
IDP-25892	9.84213712426597e-07	5.37599914436996e-05
IDP-25893	-3.40187827851275e-06	4.93738994527603e-05
IDP-25894	-4.03422947451336e-06	4.87415482567597e-05
IDP-25895	1.06760444703512e-06	5.38433821783081e-05
IDP-25896	-3.5595584216599e-06	4.92162193096131e-05
IDP-25897	-6.08579608321451e-08	5.27149197704409e-05
IDP-25898	-4.62737242652802e-07	5.23130404886202e-05
IDP-25899	-2.55028277367318e-06	5.02254949575998e-05
IDP-25900	-2.56463151758563e-06	5.02111462136874e-05
IDP-25901	3.59001868677484e-06	5.63657964180479e-05
IDP-25902	-3.12091693700585e-06	4.96548607942672e-05
IDP-25903	-5.4184639326595e-06	4.73573137986135e-05
IDP-25904	-2.96321149984373e-06	4.98125662314293e-05
IDP-25905	-4.16419801150955e-06	4.86115797197635e-05
IDP-25906	-3.26869658751416e-06	4.95070811437589e-05
IDP-25907	-4.19547159701754e-06	4.85803061342555e-05
IDP-25908	-1.28585161853065e-06	5.14899261127424e-05
IDP-25909	-1.69753806555285e-06	5.10782396657202e-05
IDP-25910	-2.96024861385054e-06	4.98155291174225e-05
IDP-25911	1.15182411082631e-06	5.39276018420993e-05
IDP-25912	-1.62245761734716e-07	5.26135319695383e-05
IDP-25913	-2.37730577125405e-06	5.0398471960019e-05
IDP-25914	-1.18275344954218e-06	5.15930242817309e-05
IDP-25915	4.44063008773854e-07	5.32198407400469e-05
IDP-25916	-3.60438604248998e-06	4.9171391688783e-05
